"Dist Code","Year","State Code","State Name","Dist Name","Crop Name","Area (1000 ha)","Production (1000 tons)","Yield (Kg per ha)"
1,1966,14,"Chhattisgarh","Durg","Barley",0.1,0.0,0.0
1,1966,14,"Chhattisgarh","Durg","Maize",3.0,2.0,666.67
1,1966,14,"Chhattisgarh","Durg","Rice",548.0,185.0,337.59
1,1966,14,"Chhattisgarh","Durg","Wheat",44.0,20.0,454.55
1,1967,14,"Chhattisgarh","Durg","Barley",0.2,0.1,500.0
1,1967,14,"Chhattisgarh","Durg","Maize",3.0,3.0,1000.0
1,1967,14,"Chhattisgarh","Durg","Rice",547.0,409.0,747.71
1,1967,14,"Chhattisgarh","Durg","Wheat",50.0,26.0,520.0
1,1968,14,"Chhattisgarh","Durg","Barley",0.2,0.1,500.0
1,1968,14,"Chhattisgarh","Durg","Maize",2.8,2.0,714.29
1,1968,14,"Chhattisgarh","Durg","Rice",556.3,468.0,841.27
1,1968,14,"Chhattisgarh","Durg","Wheat",53.7,30.0,558.66
1,1969,14,"Chhattisgarh","Durg","Barley",0.2,0.1,500.0
1,1969,14,"Chhattisgarh","Durg","Maize",2.7,2.3,851.85
1,1969,14,"Chhattisgarh","Durg","Rice",563.4,400.8,711.4
1,1969,14,"Chhattisgarh","Durg","Wheat",49.4,26.5,536.44
1,1970,14,"Chhattisgarh","Durg","Barley",0.1,0.1,1000.0
1,1970,14,"Chhattisgarh","Durg","Maize",2.5,3.3,1320.0
1,1970,14,"Chhattisgarh","Durg","Rice",571.6,473.6,828.55
1,1970,14,"Chhattisgarh","Durg","Wheat",44.2,29.0,656.11
1,1971,14,"Chhattisgarh","Durg","Barley",0.2,0.1,500.0
1,1971,14,"Chhattisgarh","Durg","Maize",2.7,3.1,1148.15
1,1971,14,"Chhattisgarh","Durg","Rice",581.8,412.9,709.69
1,1971,14,"Chhattisgarh","Durg","Wheat",44.4,25.8,581.08
1,1972,14,"Chhattisgarh","Durg","Barley",0.1,0.1,1000.0
1,1972,14,"Chhattisgarh","Durg","Maize",2.8,3.2,1142.86
1,1972,14,"Chhattisgarh","Durg","Rice",582.2,381.0,654.41
